index,trialid,source_register,date_registration,date_enrollement,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,intervention_type,intervention,web_address,results_url_link,last_refreshed_on,first_seen
125,ChiCTR2000030185,ChiCTR,2020-02-24,2020-02-24,West China Hospital of Sichuan University,Recruiting,Not Applicable,Diagnostic test,China,"The Value of Critical Care Ultrasound in Rapid Screening, Diagnosis, Evaluation of Effectiveness and Intensive Prevention of Novel Coronavirus Pneumonia (COVID-19)",Diagnosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=50058,No Results,2020-02-25,2020-08-03
126,ChiCTR2000030046,ChiCTR,2020-02-21,2020-02-07,"The First People's Hospital of Jiangxia District, Wuhan (Union Jiangnan Hospital)",Recruiting,Not Applicable,Interventional,China,A single arm trial to evaluate the efficacy and safety of anti-2019-nCoV inactivated convalescent plasma in the treatment of novel coronavirus pneumonia patient (COVID-19),ATMP,Plasma,http://www.chictr.org.cn/showproj.aspx?proj=49861,No Results,2020-02-25,2020-08-03
127,ChiCTR2000030030,ChiCTR,2020-02-20,2020-02-20,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Observational,China,A medical records based study for acute kidney injury in novel coronavirus pneumonia (COVID-19),Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49841,No Results,2020-02-25,2020-08-03
128,ChiCTR2000029459,ChiCTR,2020-02-02,2020-02-03,"Xinhua Affiliated Hospital, Hubei University of Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine",Not Recruiting,Not Applicable,Interventional,China,The effect of pulmonary rehabilitation for pulmonary function and quality of life in patients with novel coronavirus pneumonia (COVID-19) in rehabilitation period,Other (physio),Physio,http://www.chictr.org.cn/showproj.aspx?proj=48929,No Results,2020-02-17,2020-08-03
129,ChiCTR2000029439,ChiCTR,2020-02-01,2020-02-02,Beijing Hospital of Traditional Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine,Not Recruiting,Not Applicable,Interventional,China,Combination of traditional Chinese medicine and western medicine in the treatment of common type novel coronavirus pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=48904,No Results,2020-02-17,2020-08-03
130,ChiCTR2000030029,ChiCTR,2020-02-21,2020-02-20,The First Affiliated Hospital of Zhejiang University School of Medicine,Not Recruiting,Not Applicable,Interventional,China,A multi-center study on the efficacy and safety of suramin sodium in adult patients with novel coronavirus pneumonia (COVID-19),Drug,Suramin,http://www.chictr.org.cn/showproj.aspx?proj=49824,No Results,2020-02-25,2020-08-03
131,ChiCTR2000030028,ChiCTR,2020-02-20,2020-02-24,West China Hospital,Not Recruiting,Not Applicable,Interventional,China,Clinical comparative study of PD-1 mAb in the treatment of severe and critical patients with novel coronavirus pneumonia (COVID-19),Drug,PD1,http://www.chictr.org.cn/showproj.aspx?proj=49840,No Results,2020-02-25,2020-08-03
132,ChiCTR2000030016,ChiCTR,2020-02-19,2020-02-04,Guangxi Medical University,Recruiting,Phase 4,Interventional,China,Basic and clinical study of inhalation of inactivated mycobacterium vaccine in the treatment of Novel coronavirus pneumonia (COVID-19),ATMP,Vaccine,http://www.chictr.org.cn/showproj.aspx?proj=49799,No Results,2020-02-25,2020-08-03
133,ChiCTR2000030007,ChiCTR,2020-02-19,2020-02-03,The First Affiliated Hospital of Guangzhou Medical University,Not Recruiting,Not Applicable,Interventional,China,Multicenter randomized controlled trial for rhG-CSF in the treatment of novel coronavirus pneumonia (COVID-19),Drug,G-CSF,http://www.chictr.org.cn/showproj.aspx?proj=49619,No Results,2020-02-25,2020-08-03
134,ChiCTR2000030167,ChiCTR,2020-02-24,2020-03-02,Renmin Hospital of Wuhan University,Not Recruiting,Not Applicable,Interventional,China,Clinical Trial for Recombinant Human Interleukin-2 in the Treatment of Novel Coronavirus Pneumonia (COVID-19),Drug,Interleukin-2,http://www.chictr.org.cn/showproj.aspx?proj=49567,No Results,2020-02-25,2020-08-03
135,ChiCTR2000030165,ChiCTR,2020-02-24,2020-02-24,Tianjin University,Recruiting,Not Applicable,Interventional,China,Clinical study for ozonated autohemotherapy in the treatment of Novel Coronavirus Pneumonia (COVID-19),Other,Ozonated autohemotherapy,http://www.chictr.org.cn/showproj.aspx?proj=49947,No Results,2020-02-25,2020-08-03
136,ChiCTR2000029381,ChiCTR,2020-01-27,2020-01-24,The First Affiliated Hospital of Guangzhou Medical University,Not Recruiting,Phase 4,Interventional,China,A prospective comparative study for Xue-Bi-Jing injection in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=48768,No Results,2020-02-17,2020-08-03
137,NCT04269525,ClinicalTrials.gov,2020-02-07,2020-02-06,ZhiYong Peng,Recruiting,Phase 2,Interventional,China,Umbilical Cord(UC)-Derived Mesenchymal Stem Cells(MSCs) Treatment for the 2019-novel Coronavirus(nCOV) Pneumonia,ATMP,"Cells, mesenchymal",https://clinicaltrials.gov/show/NCT04269525,No Results,2020-02-24,2020-08-03
138,ChiCTR2000030027,ChiCTR,2020-02-20,2020-02-20,Dongzhimen Hospital Affiliated to Beijing University of Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Traditional Chinese medicine cooperative therapy for patients with Novel coronavirus pneumonia (COVID-19) and its effect on spermatogenesis: a randomized controlled trial,Traditional Medicine (Unspecified),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49852,No Results,2020-02-25,2020-08-03
139,ChiCTR2000030012,ChiCTR,2020-02-19,2020-02-19,"The First People's Hospital of Chenzhou, Institute of Translational Medicine,University of South China",Not Recruiting,Not Applicable,Interventional,China,Development of anti-2019-nCoV therapeutic antibody from the recovered novel coronavirus pneumonia patients (COVID-19),ATMP,Antibody,http://www.chictr.org.cn/showproj.aspx?proj=49718,No Results,2020-02-25,2020-08-03
140,ChiCTR2000030117,ChiCTR,2020-02-23,2020-02-15,Shanghai Public Health Clinical Center,Recruiting,Phase 4,Interventional,China,"A multicenter, randomized, open, parallel controlled trial for the evaluation of the effectiveness and safety of Xiyanping injection in the treatment of common type novel coronavirus pneumonia (COVID-19)",Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49762,No Results,2020-02-25,2020-08-03
141,ChiCTR2000030115,ChiCTR,2020-02-23,2020-02-27,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Observational,China,A clinical research for the changes of Blood cortisol ACTH level and adrenal morphology in blood cortisol to guide the application of individualized hormone in severe novel coronavirus pneumonia (COVID-19) patients,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49964,No Results,2020-02-25,2020-08-03
142,ChiCTR2000030188,ChiCTR,2020-02-24,2020-02-15,Guangdong Provincial Hospital of Chinese Medicine - Zhuhai Hospital,Recruiting,Not Applicable,Interventional,China,Clinical Study on Syndrome Differentiation of TCM in Treating Severe and Critical novel coronavirus pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=50025,No Results,2020-02-25,2020-08-03
143,ChiCTR2000030170,ChiCTR,2020-02-24,2020-02-15,Shanghai Public Health Clinical Center,Recruiting,Not Applicable,Interventional,China,Study for safety and efficacy of Jakotinib hydrochloride tablets in the treatment severe and acute exacerbation patients of novel coronavirus pneumonia (COVID-19),Drug,Jakotinib,http://www.chictr.org.cn/showproj.aspx?proj=50017,No Results,2020-02-25,2020-08-03
144,ChiCTR2000030092,ChiCTR,2020-02-23,2020-02-12,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Observational,China,Assessment of cardiac function in patients with Novel Coronavirus Pneumonia (COVID-19) by echocardiography and its new techniques,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49880,No Results,2020-02-25,2020-08-03
145,ChiCTR2000030090,ChiCTR,2020-02-22,2020-02-22,West China Hospital of Sichuan University,Not Recruiting,Not Applicable,Interventional,China,A Prospective Randomized Controlled Trial for Home Exercise Prescription Intervention During Epidemic of Novel Coronary Pneumonia (COVID-19) in College Students,Other (exercise),Exercise,http://www.chictr.org.cn/showproj.aspx?proj=49910,No Results,2020-02-25,2020-08-03
146,ChiCTR2000030010,ChiCTR,2020-02-19,2020-02-19,Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital),Not Recruiting,Not Applicable,Interventional,China,"A randomized, double-blind, parallel-controlled, trial to evaluate the efficacy and safety of anti-SARS-CoV-2 virus inactivated plasma in the treatment of severe novel coronavirus pneumonia patients (COVID-19)",ATMP,Plasma,http://www.chictr.org.cn/showproj.aspx?proj=49777,No Results,2020-02-25,2020-08-03
147,ChiCTR2000029996,ChiCTR,2020-02-20,2020-02-20,"Beijing Chaoyang Hospital, Capital Medical University",Recruiting,Phase 2,Interventional,China,"A randomized, open-label, controlled trial for the efficacy and safety of Farpiravir Tablets in the treatment of patients with novel coronavirus pneumonia (COVID-19)",Drug,Favipiravir,http://www.chictr.org.cn/showproj.aspx?proj=49510,No Results,2020-02-25,2020-08-03
148,ChiCTR2000030000,ChiCTR,2020-02-19,2020-02-16,Nanchang Ninth Hospital,Recruiting,Phase 4,Interventional,China,"An open, controlled clinical trial for evaluation of ganovo combined with ritonavir and integrated traditional Chinese and Western medicine in the treatment of novel coronavirus infection (COVID-19)",Traditional Medicine + Western Medicine,Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49748,No Results,2020-02-25,2020-03-18
149,ChiCTR2000029956,ChiCTR,2020-02-17,2020-02-18,Hospital of Chengdu University of Traditional Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,Chinese Medicine Promotes Rehabilitation Recommendations after 2019 Novel Coronavirus Infection (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49618,No Results,2020-02-25,2020-08-03
150,ChiCTR2000030058,ChiCTR,2020-02-22,2020-03-10,Renmin Hospital of Wuhan University,Not Recruiting,Phase 3,Interventional,China,"A multicenter, randomized, double-blind, controlled clinical trial for leflunomide in the treatment of novel coronavirus pneumonia (COVID-19)",Drug,Leflunomide,http://www.chictr.org.cn/showproj.aspx?proj=49831,No Results,2020-02-25,2020-08-03
151,ChiCTR2000030056,ChiCTR,2020-02-22,2020-02-23,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Observational,China,Study for the effect of early endotracheal intubation on the outcome of novel coronavirus pneumonia (COVID-19) patients,Other (physical),Endotracheal Intubation,http://www.chictr.org.cn/showproj.aspx?proj=49904,No Results,2020-02-25,2020-08-03
152,ChiCTR2000030138,ChiCTR,2020-02-24,2020-02-24,Chinese PLA General Hospital,Not Recruiting,Phase 2,Interventional,China,Clinical Trial for Human Mesenchymal Stem Cells in the Treatment of Severe Novel Coronavirus Pneumonia (COVID-19),ATMP,"Cells, mesenchymal",http://www.chictr.org.cn/showproj.aspx?proj=50004,No Results,2020-02-25,2020-08-03
153,ChiCTR2000030137,ChiCTR,2020-02-24,2020-02-24,The Second Affiliated Hospital of Xi'an Jiaotong University,Not Recruiting,Not Applicable,Observational,China,Humanistic Care in Healthcare Workers in Novel Coronavirus Pneumonia (COVID-19),Other,Humanistic Care,http://www.chictr.org.cn/showproj.aspx?proj=50007,No Results,2020-02-25,2020-08-03
154,ChiCTR2000029995,ChiCTR,2020-02-19,2020-02-20,Shanghai General Hospital of Shanghai Jiaotong University,Recruiting,Not Applicable,Observational,China,Study on anxiety of different populations under novel coronavirus (COVID-19) infection,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49418,No Results,2020-02-25,2020-08-03
155,ChiCTR2000029994,ChiCTR,2020-02-18,2020-02-19,Shanghai University of Traditional Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,Liu-Zi-Jue Qigong and Acupressure Therapy for Pulmonary Function and Quality of Life in Patient with Severe novel coronavirus pneumonia (COVID-19): A Randomized Controlled Trial,Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49309,No Results,2020-02-25,2020-08-03
156,ChiCTR2000030033,ChiCTR,2020-02-21,2020-02-24,The First Affiliated Hospital of Guangzhou Medical University,Not Recruiting,Not Applicable,Interventional,China,A study for the intervention of Xiangxue antiviral oral solution and Wu-Zhi-Fang-Guan-Fang on close contacts of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49703,No Results,2020-02-25,2020-08-03
157,ChiCTR2000030017,ChiCTR,2020-02-20,2020-02-17,Renmin Hospital of Wuhan University,Recruiting,Not Applicable,Observational,China,Feature of Multiple Organs in Ultrasound Investigation for Clinical Management and Prognostic Evaluation of Novel Coronavirus Pneumonia (COVID-19),Prognosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49798,No Results,2020-02-25,2020-08-03
158,ChiCTR2000029978,ChiCTR,2020-02-18,2020-02-21,Yueyang Hospital of Integrated Traditional Chinese Medicine and Western Medicine Affiliated to Shanghai University of Tranditional Medicine,Not Recruiting,Not Applicable,Interventional,China,A randomized controlled trial for the efficacy of Dao-Yin in the prevention and controlling novel coronavirus pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49702,No Results,2020-02-25,2020-08-03
159,ChiCTR2000029960,ChiCTR,2020-02-17,2020-02-28,The First Affiliated Hospital of Hu'nan University of Traditional Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,Comparative study for integrate Chinese and conventional medicine the the treatment of novel coronavirus pneumonia (COVID-19) in Hu'nan province,Traditional Medicine + Western Medicine,Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49639,No Results,2020-02-25,2020-08-03
160,ChiCTR2000030015,ChiCTR,2020-02-20,2020-02-19,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Basic Science,China,Study for the correlation between the incidence and outcome of novel coronary pneumonia (COVID-2019) and ovarian function in women,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49800,No Results,2020-02-25,2020-08-03
161,ChiCTR2000030008,ChiCTR,2020-02-19,2020-02-12,The Fifth Affiliated Hospital of Sun Yat-Sen University,Recruiting,Not Applicable,Observational,China,Correalation between anxiety as well as depression and gut microbiome among staff of hospital during the novel coronavirus pneumonia (COVID-19) outbreak,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49426,No Results,2020-02-25,2020-08-03
162,ChiCTR2000030136,ChiCTR,2020-02-24,2020-02-24,The Second Affiliated Hospital of Xi'an Jiaotong University,Not Recruiting,Not Applicable,Interventional,China,Humanistic Care in Patients With Novel Coronavirus Pneumonia (COVID-19),Other,Humanistic Care,http://www.chictr.org.cn/showproj.aspx?proj=50005,No Results,2020-02-25,2020-03-18
163,ChiCTR2000030102,ChiCTR,2020-02-23,2020-02-24,Tianjin Huanhu Hospital,Recruiting,Not Applicable,Interventional,China,A multicenter randomized controlled trial for ozone autohemotherapy in the treatment of novel coronavirus pneumonia (COVID-19),Other,Ozonated autohemotherapy,http://www.chictr.org.cn/showproj.aspx?proj=49747,No Results,2020-02-25,2020-08-03
164,ChiCTR2000030006,ChiCTR,2020-02-19,2020-02-19,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Interventional,China,A randomized controlled trial for the efficacy of ozonated autohemotherapy in the treatment of Novel Coronavirus Pneumonia (COVID-19),Other,Ozonated autohemotherapy,http://www.chictr.org.cn/showproj.aspx?proj=49737,No Results,2020-02-25,2020-08-03
165,ChiCTR2000030001,ChiCTR,2020-02-19,2020-02-15,Health commission of Heilongjiang province,Recruiting,Phase 3,Interventional,China,"The efficacy and safety of Triazavirin for 2019 novel coronary pneumonia (COVID-19): a multicenter, randomized, double blinded, placebo-controlled trial",Drug,Triazavirin,http://www.chictr.org.cn/showproj.aspx?proj=49723,No Results,2020-02-25,2020-08-03
166,ChiCTR2000030089,ChiCTR,2020-02-22,2020-02-28,Shanghai Changzheng Hospital,Not Recruiting,Phase 4,Interventional,China,A clinical study for the efficacy and safety of Adalimumab Injection in the treatment of patients with severe novel coronavirus pneumonia (COVID-19),Drug,Adalimumab,http://www.chictr.org.cn/showproj.aspx?proj=49889,No Results,2020-02-25,2020-08-03
167,ChiCTR2000030088,ChiCTR,2020-02-22,2020-03-01,The Sixth Medical Center of PLA General Hospital,Not Recruiting,Not Applicable,Interventional,China,Umbilical cord Wharton's Jelly derived mesenchymal stem cells in the treatment of severe novel coronavirus pneumonia (COVID-19),ATMP,"Cells, mesenchymal",http://www.chictr.org.cn/showproj.aspx?proj=49902,No Results,2020-02-25,2020-08-03
168,ChiCTR2000029781,ChiCTR,2020-02-13,2020-02-14,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Phase 4,Interventional,China,"A multicenter, randomized, open and controlled trial for the efficacy and safety of Kang-Bing-Du granules in the treatment of novel coronavirus pneumonia (COVID-19)",Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49138,No Results,2020-02-25,2020-08-03
169,ChiCTR2000029740,ChiCTR,2020-02-11,2020-02-11,The First Hospital of Peking University,Recruiting,Phase 4,Interventional,China,Efficacy of therapeutic effects of hydroxycholoroquine in novel coronavirus pneumonia (COVID-19) patients(randomized open-label control clinical trial),Drug,Hydroxychloroquine,http://www.chictr.org.cn/showproj.aspx?proj=49317,No Results,2020-02-25,2020-08-03
170,ChiCTR2000030087,ChiCTR,2020-02-22,2020-02-12,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Observational,China,Clinical study for the diagnostic value of pulmonary ultrasound for novel coronavirus pneumonia (COVID-19),Diagnosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49919,No Results,2020-02-25,2020-08-03
171,ChiCTR2000030086,ChiCTR,2020-02-22,2020-02-24,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Observational,China,Study for the effects on medical providers' infection rate and mental health after performing different anesthesia schemes in cesarean section for novel coronavirus pneumonia (COVID-19) puerperae,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49934,No Results,2020-02-25,2020-08-03
172,ChiCTR2000029959,ChiCTR,2020-02-17,2020-01-25,"West China Second Hospital, Sichuan University",Recruiting,Not Applicable,Observational,China,Clinical observation and research of  Severe acute respiratory syndrome coronavirus 2(COVID-19) infection in perinatal newborns,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49636,No Results,2020-02-25,2020-08-03
173,ChiCTR2000029866,ChiCTR,2020-02-15,2020-02-17,Enze Hospital of Taizhou Enze Medical Center (Group),Recruiting,Not Applicable,Diagnostic test,China,Early warning prediction of patients with severe novel coronavirus pneumonia (COVID-19) based on multiomics,Genomics,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49519,No Results,2020-02-25,2020-08-03
174,ChiCTR2000029865,ChiCTR,2020-02-15,2020-02-20,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Observational,China,Descriptive study on the clinical characteristics and outcomes of novel coronavirus pneumonia (COVID-19) in cardiovascular patients,Prognosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49545,No Results,2020-02-25,2020-08-03
175,ChiCTR2000029851,ChiCTR,2020-02-15,2020-02-19,"Zhongshan Hospital, Fudan University",Recruiting,Phase 4,Interventional,China,"A multicenter, randomized controlled trial for the efficacy and safety of Alpha lipoic acid (iv) in the treatment of patients of severe novel coronavirus pneumonia (COVID-19)",Supplement,Alpha lipoic acid,http://www.chictr.org.cn/showproj.aspx?proj=49534,No Results,2020-02-25,2020-08-03
176,ChiCTR2000029999,ChiCTR,2020-02-19,2020-02-20,Shanghai 10th people's hospital,Not Recruiting,Not Applicable,Interventional,China,A clinical study for probiotics in the regulation of intestinal function and microflora structure of novel coronavirus pneumonia (COVID-19),Supplement,Probiotics,http://www.chictr.org.cn/showproj.aspx?proj=49717,No Results,2020-02-25,2020-03-18
177,ChiCTR2000029992,ChiCTR,2020-02-18,2020-02-17,Zhongshan Hospital Affiliated to Xiamen University,Not Recruiting,Phase 4,Interventional,China,"A prospective, randomized, open label, controlled trial for chloroquine and hydroxychloroquine in patients with severe novel coronavirus pneumonia (COVID-19)",Drug,Combination: Chloroquine + hydroxychloroquine,http://www.chictr.org.cn/showproj.aspx?proj=49574,No Results,2020-02-25,2020-08-03
178,ChiCTR2000030054,ChiCTR,2020-02-22,2020-02-22,Zhongshan Hospital Affiliated to Xiamen University,Not Recruiting,Not Applicable,Interventional,China,"A prospective, open label, randomized, control trial for chloroquine or hydroxychloroquine in patients with mild and common novel coronavirus pulmonary (COVIP-19)",Drug,Combination: Chloroquine vs hydroxychloroquine,http://www.chictr.org.cn/showproj.aspx?proj=49869,No Results,2020-02-25,2020-08-03
179,ChiCTR2000030039,ChiCTR,2020-02-21,2020-05-31,Affiliated Hospital of Xuzhou Medical University,Recruiting,Not Applicable,Interventional,China,Clinical study for infusing convalescent plasma to treat patients with new coronavirus pneumonia (COVID-19),ATMP,Plasma,http://www.chictr.org.cn/showproj.aspx?proj=49544,No Results,2020-02-25,2020-08-03
180,ChiCTR2000029990,ChiCTR,2020-02-18,2020-01-30,"Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences",Recruiting,Phase 1/Phase 2,Interventional,China,Clinical trials of mesenchymal stem cells for the treatment of pneumonitis caused by novel coronavirus pneumonia (COVID-19),ATMP,"Cells, mesenchymal",http://www.chictr.org.cn/showproj.aspx?proj=49674,No Results,2020-02-25,2020-03-18
181,ChiCTR2000029981,ChiCTR,2020-02-18,2020-02-18,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Diagnostic test,China,Study for nucleic acid detection of novel coronavirus pneumonia (COVID-2019) in female vaginal secretions,Diagnosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49692,No Results,2020-02-25,2020-08-03
182,ChiCTR2000030021,ChiCTR,2020-02-20,2020-02-20,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Observational,China,A medical records based analysis for the clinical characteristics of novel coronavirus pneumonia (COVID-19) in immunocompromised patients,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49690,No Results,2020-02-25,2020-08-03
183,ChiCTR2000030020,ChiCTR,2020-02-20,2020-02-06,"Second Hospital of University of South China, Hengyang",Recruiting,Not Applicable,Interventional,China,The clinical application and basic research related to mesenchymal stem cells to treat novel coronavirus pneumonia (COVID-19),ATMP,"Cells, mesenchymal",http://www.chictr.org.cn/showproj.aspx?proj=49812,No Results,2020-02-25,2020-08-03
184,ChiCTR2000029974,ChiCTR,2020-02-18,2020-02-09,"Qingdao East Sea Pharmaceutical Co., Ltd.",Recruiting,Not Applicable,Interventional,China,"A prospective, multicenter, open-label, randomized, parallel-controlled trial for probiotics to evaluate efficacy and safety in patients infected with 2019 novel coronavirus pneumonia (COVID-19)",Supplement,Probiotics,http://www.chictr.org.cn/showproj.aspx?proj=49321,No Results,2020-02-25,2020-08-03
185,ChiCTR2000029803,ChiCTR,2020-02-14,2020-02-20,Renmin Hospital of Wuhan University,Not Recruiting,Not Applicable,Interventional,China,"A prospective, randomized, open-label, controlled clinical study to evaluate the preventive effect of hydroxychloroquine on close contacts after exposure to the Novel Coronavirus Pneumonia (COVID-19)",Drug,Hydroxychloroquine,http://www.chictr.org.cn/showproj.aspx?proj=49428,No Results,2020-02-25,2020-08-03
186,ChiCTR2000030019,ChiCTR,2020-02-20,2020-02-28,"Zhongshan Hospital, Fudan University",Not Recruiting,Not Applicable,Observational,China,"The COVID-19 Mobile Health Study (CMHS), a large-scale clinical observational registration study using nCapp",Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49768,No Results,2020-02-25,2020-08-03
187,ChiCTR2000030004,ChiCTR,2020-02-19,2020-02-20,West China Hospital of Sichuan University,Not Recruiting,Not Applicable,Observational,China,Effect of Novel Coronavirus Pneumonia (COVID-19) on the Mental Health of College Students,Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49783,No Results,2020-02-25,2020-03-18
188,ChiCTR2000029780,ChiCTR,2020-02-13,2020-02-14,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Phase 4,Interventional,China,"A multicenter, randomized, open, controlled trial for the efficacy and safety of Shen-Qi Fu-Zheng injection in the treatment of novel coronavirus pneumonia (COVID-19)",Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49220,No Results,2020-02-25,2020-08-03
189,NCT04257656,ClinicalTrials.gov,2020-01-31,2020-02-06,Capital Medical University,Recruiting,Phase 3,Interventional,China,Severe 2019-nCoV Remdesivir RCT,Drug,Remdesivir,https://clinicaltrials.gov/show/NCT04257656,No Results,2020-03-02,2020-08-03
190,ChiCTR2000030003,ChiCTR,2020-02-19,2020-02-19,Hospital of Chengdu University of Traditional Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,Optimization Protocal of Integrated Traditional Chinese and Western Medicine in the Treatment for Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49770,No Results,2020-02-25,2020-08-03
191,ChiCTR2000030002,ChiCTR,2020-02-19,2020-02-15,The First Affiliated Hospital of University of science and technology of China (Anhui Provincial Hospital),Recruiting,Phase 4,Interventional,China,Clinical study of novel NLRP Inflammasome inhibitor (Tranilast) in the treatment of novel coronavirus pneumonia (COVID-19),Drug,Tranilast,http://www.chictr.org.cn/showproj.aspx?proj=49738,No Results,2020-02-25,2020-08-03
192,ChiCTR2000029989,ChiCTR,2020-02-18,2020-02-20,Chinese PLA General Hospital,Not Recruiting,Phase 4,Interventional,China,A randomized controlled Trial for therapeutic efficacy of Recombinant Human Interferon alpha 1b Eye Drops in the treatment of elderly with novel coronavirus pneumonia (COVID-19),Drug,Interferon alfa,http://www.chictr.org.cn/showproj.aspx?proj=49720,No Results,2020-02-25,2020-08-03
193,ChiCTR2000029988,ChiCTR,2020-02-18,2020-02-13,Zhongnan Hospital of Wuhan University,Recruiting,Phase 4,Interventional,China,Clinical Study of Chloroquine Phosphate in the Treatment of Severe Novel Coronavirus Pneumonia (COVID-19),Drug,Chloroquine,http://www.chictr.org.cn/showproj.aspx?proj=49218,No Results,2020-02-25,2020-08-03
194,ChiCTR2000029985,ChiCTR,2020-02-18,2020-02-10,Sichuan Academy of Medical Sciences & Sichuan Provincial People's Hospital,Recruiting,Not Applicable,Observational,China,Study for mental health status and influencing factors of nurses during epidemic prevention of novel coronavirus pneumonia (COVID-19),Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49711,No Results,2020-02-25,2020-03-18
195,ChiCTR2000029972,ChiCTR,2020-02-17,2020-02-17,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Recruiting,Not Applicable,Interventional,China,A randomized controlled trial for the Efficacy of Ultra Short Wave Electrotherapy in the treatment of Novel Coronavirus Pneumonia (COVID-19),Other (physical),Ultra short wave electrotherapy,http://www.chictr.org.cn/showproj.aspx?proj=49664,No Results,2020-02-25,2020-08-03
