,trialid,registry,registration_date,enrollment_date,sponsors,recruitment_status,phase,study_type,countries,title,intervention_type,intervention,data_source,results_link,last_refreshed_on,first_seen
127,chictr2000030030,chictr,2020-02-20,2020-02-20,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,observational,china,a medical records based study for acute kidney injury in novel coronavirus pneumonia (covid-19),clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49841,no results,2020-02-25,2020-08-03
128,chictr2000029459,chictr,2020-02-02,2020-02-03,"xinhua affiliated hospital,hubei university of chinese medicine; hubei provincial hospital of integrated chinese and western medicine",not recruiting,not applicable,interventional,china,the effect of pulmonary rehabilitation for pulmonary function and quality of life in patients with novel coronavirus pneumonia (covid-19) in rehabilitation period,other (physio),physio,http://www.chictr.org.cn/showproj.aspx?proj=48929,no results,2020-02-17,2020-08-03
129,chictr2000029439,chictr,2020-02-01,2020-02-02,"beijing hospital of traditional chinese medicine,hubei provincial hospital of integrated chinese and western medicine",not recruiting,not applicable,interventional,china,combination of traditional chinese medicine and western medicine in the treatment of common type novel coronavirus pneumonia (covid-19),traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48904,no results,2020-02-17,2020-08-03
130,chictr2000030029,chictr,2020-02-21,2020-02-20,the first affiliated hospital of zhejiang university school of medicine,not recruiting,not applicable,interventional,china,a multi-center study on the efficacy and safety of suramin sodium in adult patients with novel coronavirus pneumonia (covid-19),drug,suramin,http://www.chictr.org.cn/showproj.aspx?proj=49824,no results,2020-02-25,2020-08-03
131,chictr2000030028,chictr,2020-02-20,2020-02-24,west china hospital,not recruiting,not applicable,interventional,china,clinical comparative study of pd-1 mab in the treatment of severe and critical patients with novel coronavirus pneumonia (covid-19),drug,pd1,http://www.chictr.org.cn/showproj.aspx?proj=49840,no results,2020-02-25,2020-08-03
132,chictr2000030016,chictr,2020-02-19,2020-02-04,guangxi medical university,recruiting,phase 4,interventional,china,basic and clinical study of inhalation of inactivated mycobacterium vaccine in the treatment of novel coronavirus pneumonia (covid-19),atmp,vaccine,http://www.chictr.org.cn/showproj.aspx?proj=49799,no results,2020-02-25,2020-08-03
133,chictr2000030007,chictr,2020-02-19,2020-02-03,the first affiliated hospital of guangzhou medical university,not recruiting,not applicable,interventional,china,multicenter randomized controlled trial for rhg-csf in the treatment of novel coronavirus pneumonia (covid-19),drug,g-csf,http://www.chictr.org.cn/showproj.aspx?proj=49619,no results,2020-02-25,2020-08-03
134,chictr2000030167,chictr,2020-02-24,2020-03-02,renmin hospital of wuhan university,not recruiting,not applicable,interventional,china,clinical trial for recombinant human interleukin-2 in the treatment of novel coronavirus pneumonia (covid-19),drug,interleukin-2,http://www.chictr.org.cn/showproj.aspx?proj=49567,no results,2020-02-25,2020-08-03
135,chictr2000030165,chictr,2020-02-24,2020-02-24,tianjin university,recruiting,not applicable,interventional,china,clinical study for ozonated autohemotherapy in the treatment of novel coronavirus pneumonia (covid-19),other,ozonated autohemotherapy,http://www.chictr.org.cn/showproj.aspx?proj=49947,no results,2020-02-25,2020-08-03
136,chictr2000029381,chictr,2020-01-27,2020-01-24,the first affiliated hospital of guangzhou medical university,not recruiting,phase 4,interventional,china,a prospective comparative study for xue-bi-jing injection in the treatment of novel coronavirus pneumonia (covid-19),traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48768,no results,2020-02-17,2020-08-03
137,nct04269525,clinicaltrials.gov,2020-02-07,2020-02-06,zhiyong peng,recruiting,phase 2,interventional,china,umbilical cord(uc)-derived mesenchymal stem cells(mscs) treatment for the 2019-novel coronavirus(ncov) pneumonia,atmp,"cells,mesenchymal",https://clinicaltrials.gov/show/nct04269525,no results,2020-02-24,2020-08-03
138,chictr2000030027,chictr,2020-02-20,2020-02-20,dongzhimen hospital affiliated to beijing university of chinese medicine,recruiting,not applicable,interventional,china,traditional chinese medicine cooperative therapy for patients with novel coronavirus pneumonia (covid-19) and its effect on spermatogenesis: a randomized controlled trial,traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49852,no results,2020-02-25,2020-08-03
139,chictr2000030012,chictr,2020-02-19,2020-02-19,"the first people's hospital of chenzhou,institute of translational medicine,university of south china",not recruiting,not applicable,interventional,china,development of anti-2019-ncov therapeutic antibody from the recovered novel coronavirus pneumonia patients (covid-19),atmp,antibody,http://www.chictr.org.cn/showproj.aspx?proj=49718,no results,2020-02-25,2020-08-03
140,chictr2000030117,chictr,2020-02-23,2020-02-15,shanghai public health clinical center,recruiting,phase 4,interventional,china,"a multicenter,randomized,open,parallel controlled trial for the evaluation of the effectiveness and safety of xiyanping injection in the treatment of common type novel coronavirus pneumonia (covid-19)",traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49762,no results,2020-02-25,2020-08-03
141,chictr2000030115,chictr,2020-02-23,2020-02-27,"tongji hospital,tongji medical college,huazhong university of science and technology",not recruiting,not applicable,observational,china,a clinical research for the changes of blood cortisol acth level and adrenal morphology in blood cortisol to guide the application of individualized hormone in severe novel coronavirus pneumonia (covid-19) patients,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49964,no results,2020-02-25,2020-08-03
142,chictr2000030188,chictr,2020-02-24,2020-02-15,guangdong provincial hospital of chinese medicine - zhuhai hospital,recruiting,not applicable,interventional,china,clinical study on syndrome differentiation of tcm in treating severe and critical novel coronavirus pneumonia (covid-19),traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=50025,no results,2020-02-25,2020-08-03
143,chictr2000030170,chictr,2020-02-24,2020-02-15,shanghai public health clinical center,recruiting,not applicable,interventional,china,study for safety and efficacy of jakotinib hydrochloride tablets in the treatment severe and acute exacerbation patients of novel coronavirus pneumonia (covid-19),drug,jakotinib,http://www.chictr.org.cn/showproj.aspx?proj=50017,no results,2020-02-25,2020-08-03
144,chictr2000030092,chictr,2020-02-23,2020-02-12,"union hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,observational,china,assessment of cardiac function in patients with novel coronavirus pneumonia (covid-19) by echocardiography and its new techniques,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49880,no results,2020-02-25,2020-08-03
145,chictr2000030090,chictr,2020-02-22,2020-02-22,west china hospital of sichuan university,not recruiting,not applicable,interventional,china,a prospective randomized controlled trial for home exercise prescription intervention during epidemic of novel coronary pneumonia (covid-19) in college students,other (exercise),exercise,http://www.chictr.org.cn/showproj.aspx?proj=49910,no results,2020-02-25,2020-08-03
146,chictr2000030010,chictr,2020-02-19,2020-02-19,wuhan jinyintan hospital (wuhan infectious diseases hospital),not recruiting,not applicable,interventional,china,"a randomized,double-blind,parallel-controlled,trial to evaluate the efficacy and safety of anti-sars-cov-2 virus inactivated plasma in the treatment of severe novel coronavirus pneumonia patients (covid-19)",atmp,plasma,http://www.chictr.org.cn/showproj.aspx?proj=49777,no results,2020-02-25,2020-08-03
147,chictr2000029996,chictr,2020-02-20,2020-02-20,"beijing chaoyang hospital,capital medical university",recruiting,phase 2,interventional,china,"a randomized,open-label,controlled trial for the efficacy and safety of farpiravir tablets in the treatment of patients with novel coronavirus pneumonia (covid-19)",drug,favipiravir,http://www.chictr.org.cn/showproj.aspx?proj=49510,no results,2020-02-25,2020-08-03
148,chictr2000030000,chictr,2020-02-19,2020-02-16,nanchang ninth hospital,recruiting,phase 4,interventional,china,"an open,controlled clinical trial for evaluation of ganovo combined with ritonavir and integrated traditional chinese and western medicine in the treatment of novel coronavirus infection (covid-19)",traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49748,no results,2020-02-25,2020-03-18
149,chictr2000029956,chictr,2020-02-17,2020-02-18,hospital of chengdu university of traditional chinese medicine,not recruiting,not applicable,interventional,china,chinese medicine promotes rehabilitation recommendations after 2019 novel coronavirus infection (covid-19),traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49618,no results,2020-02-25,2020-08-03
150,chictr2000030058,chictr,2020-02-22,2020-03-10,renmin hospital of wuhan university,not recruiting,phase 3,interventional,china,"a multicenter,randomized,double-blind,controlled clinical trial for leflunomide in the treatment of novel coronavirus pneumonia (covid-19)",drug,leflunomide,http://www.chictr.org.cn/showproj.aspx?proj=49831,no results,2020-02-25,2020-08-03
151,chictr2000030056,chictr,2020-02-22,2020-02-23,"union hospital,tongji medical college,huazhong university of science and technology",not recruiting,not applicable,observational,china,study for the effect of early endotracheal intubation on the outcome of novel coronavirus pneumonia (covid-19) patients,other (physical),endotracheal intubation,http://www.chictr.org.cn/showproj.aspx?proj=49904,no results,2020-02-25,2020-08-03
152,chictr2000030138,chictr,2020-02-24,2020-02-24,chinese pla general hospital,not recruiting,phase 2,interventional,china,clinical trial for human mesenchymal stem cells in the treatment of severe novel coronavirus pneumonia (covid-19),atmp,"cells,mesenchymal",http://www.chictr.org.cn/showproj.aspx?proj=50004,no results,2020-02-25,2020-08-03
153,chictr2000030137,chictr,2020-02-24,2020-02-24,the second affiliated hospital of xi'an jiaotong university,not recruiting,not applicable,observational,china,humanistic care in healthcare workers in novel coronavirus pneumonia (covid-19),other,humanistic care,http://www.chictr.org.cn/showproj.aspx?proj=50007,no results,2020-02-25,2020-08-03
154,chictr2000029995,chictr,2020-02-19,2020-02-20,shanghai general hospital of shanghai jiaotong university,recruiting,not applicable,observational,china,study on anxiety of different populations under novel coronavirus (covid-19) infection,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49418,no results,2020-02-25,2020-08-03
155,chictr2000029994,chictr,2020-02-18,2020-02-19,shanghai university of traditional chinese medicine,not recruiting,not applicable,interventional,china,liu-zi-jue qigong and acupressure therapy for pulmonary function and quality of life in patient with severe novel coronavirus pneumonia (covid-19): a randomized controlled trial,traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49309,no results,2020-02-25,2020-08-03
156,chictr2000030033,chictr,2020-02-21,2020-02-24,the first affiliated hospital of guangzhou medical university,not recruiting,not applicable,interventional,china,a study for the intervention of xiangxue antiviral oral solution and wu-zhi-fang-guan-fang on close contacts of novel coronavirus pneumonia (covid-19),traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49703,no results,2020-02-25,2020-08-03
157,chictr2000030017,chictr,2020-02-20,2020-02-17,renmin hospital of wuhan university,recruiting,not applicable,observational,china,feature of multiple organs in ultrasound investigation for clinical management and prognostic evaluation of novel coronavirus pneumonia (covid-19),prognosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49798,no results,2020-02-25,2020-08-03
158,chictr2000029978,chictr,2020-02-18,2020-02-21,yueyang hospital of integrated traditional chinese medicine and western medicine affiliated to shanghai university of tranditional medicine,not recruiting,not applicable,interventional,china,a randomized controlled trial for the efficacy of dao-yin in the prevention and controlling novel coronavirus pneumonia (covid-19),traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49702,no results,2020-02-25,2020-08-03
159,chictr2000029960,chictr,2020-02-17,2020-02-28,the first affiliated hospital of hu'nan university of traditional chinese medicine,not recruiting,not applicable,interventional,china,comparative study for integrate chinese and conventional medicine the the treatment of novel coronavirus pneumonia (covid-19) in hu'nan province,traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49639,no results,2020-02-25,2020-08-03
160,chictr2000030015,chictr,2020-02-20,2020-02-19,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,basic science,china,study for the correlation between the incidence and outcome of novel coronary pneumonia (covid-2019) and ovarian function in women,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49800,no results,2020-02-25,2020-08-03
161,chictr2000030008,chictr,2020-02-19,2020-02-12,the fifth affiliated hospital of sun yat-sen university,recruiting,not applicable,observational,china,correalation between anxiety as well as depression and gut microbiome among staff of hospital during the novel coronavirus pneumonia (covid-19) outbreak,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49426,no results,2020-02-25,2020-08-03
162,chictr2000030136,chictr,2020-02-24,2020-02-24,the second affiliated hospital of xi'an jiaotong university,not recruiting,not applicable,interventional,china,humanistic care in patients with novel coronavirus pneumonia (covid-19),other,humanistic care,http://www.chictr.org.cn/showproj.aspx?proj=50005,no results,2020-02-25,2020-03-18
163,chictr2000030102,chictr,2020-02-23,2020-02-24,tianjin huanhu hospital,recruiting,not applicable,interventional,china,a multicenter randomized controlled trial for ozone autohemotherapy in the treatment of novel coronavirus pneumonia (covid-19),other,ozonated autohemotherapy,http://www.chictr.org.cn/showproj.aspx?proj=49747,no results,2020-02-25,2020-08-03
164,chictr2000030006,chictr,2020-02-19,2020-02-19,"union hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,interventional,china,a randomized controlled trial for the efficacy of ozonated autohemotherapy in the treatment of novel coronavirus pneumonia (covid-19),other,ozonated autohemotherapy,http://www.chictr.org.cn/showproj.aspx?proj=49737,no results,2020-02-25,2020-08-03
165,chictr2000030001,chictr,2020-02-19,2020-02-15,health commission of heilongjiang province,recruiting,phase 3,interventional,china,"the efficacy and safety of triazavirin for 2019 novel coronary pneumonia (covid-19): a multicenter,randomized,double blinded,placebo-controlled trial",drug,triazavirin,http://www.chictr.org.cn/showproj.aspx?proj=49723,no results,2020-02-25,2020-08-03
166,chictr2000030089,chictr,2020-02-22,2020-02-28,shanghai changzheng hospital,not recruiting,phase 4,interventional,china,a clinical study for the efficacy and safety of adalimumab injection in the treatment of patients with severe novel coronavirus pneumonia (covid-19),drug,adalimumab,http://www.chictr.org.cn/showproj.aspx?proj=49889,no results,2020-02-25,2020-08-03
167,chictr2000030088,chictr,2020-02-22,2020-03-01,the sixth medical center of pla general hospital,not recruiting,not applicable,interventional,china,umbilical cord wharton's jelly derived mesenchymal stem cells in the treatment of severe novel coronavirus pneumonia (covid-19),atmp,"cells,mesenchymal",http://www.chictr.org.cn/showproj.aspx?proj=49902,no results,2020-02-25,2020-08-03
168,chictr2000029781,chictr,2020-02-13,2020-02-14,"union hospital,tongji medical college,huazhong university of science and technology",recruiting,phase 4,interventional,china,"a multicenter,randomized,open and controlled trial for the efficacy and safety of kang-bing-du granules in the treatment of novel coronavirus pneumonia (covid-19)",traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49138,no results,2020-02-25,2020-08-03
169,chictr2000029740,chictr,2020-02-11,2020-02-11,the first hospital of peking university,recruiting,phase 4,interventional,china,efficacy of therapeutic effects of hydroxycholoroquine in novel coronavirus pneumonia (covid-19) patients(randomized open-label control clinical trial),drug,hydroxychloroquine,http://www.chictr.org.cn/showproj.aspx?proj=49317,no results,2020-02-25,2020-08-03
170,chictr2000030087,chictr,2020-02-22,2020-02-12,"union hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,observational,china,clinical study for the diagnostic value of pulmonary ultrasound for novel coronavirus pneumonia (covid-19),diagnosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49919,no results,2020-02-25,2020-08-03
171,chictr2000030086,chictr,2020-02-22,2020-02-24,"union hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,observational,china,study for the effects on medical providers' infection rate and mental health after performing different anesthesia schemes in cesarean section for novel coronavirus pneumonia (covid-19) puerperae,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49934,no results,2020-02-25,2020-08-03
172,chictr2000029959,chictr,2020-02-17,2020-01-25,"west china second hospital,sichuan university",recruiting,not applicable,observational,china,clinical observation and research of  severe acute respiratory syndrome coronavirus 2(covid-19) infection in perinatal newborns,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49636,no results,2020-02-25,2020-08-03
173,chictr2000029866,chictr,2020-02-15,2020-02-17,enze hospital of taizhou enze medical center (group),recruiting,not applicable,diagnostic test,china,early warning prediction of patients with severe novel coronavirus pneumonia (covid-19) based on multiomics,genomics,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49519,no results,2020-02-25,2020-08-03
174,chictr2000029865,chictr,2020-02-15,2020-02-20,"union hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,observational,china,descriptive study on the clinical characteristics and outcomes of novel coronavirus pneumonia (covid-19) in cardiovascular patients,prognosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49545,no results,2020-02-25,2020-08-03
175,chictr2000029851,chictr,2020-02-15,2020-02-19,"zhongshan hospital,fudan university",recruiting,phase 4,interventional,china,"a multicenter,randomized controlled trial for the efficacy and safety of alpha lipoic acid (iv) in the treatment of patients of severe novel coronavirus pneumonia (covid-19)",supplement,alpha lipoic acid,http://www.chictr.org.cn/showproj.aspx?proj=49534,no results,2020-02-25,2020-08-03
176,chictr2000029999,chictr,2020-02-19,2020-02-20,shanghai 10th people's hospital,not recruiting,not applicable,interventional,china,a clinical study for probiotics in the regulation of intestinal function and microflora structure of novel coronavirus pneumonia (covid-19),supplement,probiotics,http://www.chictr.org.cn/showproj.aspx?proj=49717,no results,2020-02-25,2020-03-18
177,chictr2000029992,chictr,2020-02-18,2020-02-17,zhongshan hospital affiliated to xiamen university,not recruiting,phase 4,interventional,china,"a prospective,randomized,open label,controlled trial for chloroquine and hydroxychloroquine in patients with severe novel coronavirus pneumonia (covid-19)",drug,combination: chloroquine + hydroxychloroquine,http://www.chictr.org.cn/showproj.aspx?proj=49574,no results,2020-02-25,2020-08-03
178,chictr2000030054,chictr,2020-02-22,2020-02-22,zhongshan hospital affiliated to xiamen university,not recruiting,not applicable,interventional,china,"a prospective,open label,randomized,control trial for chloroquine or hydroxychloroquine in patients with mild and common novel coronavirus pulmonary (covip-19)",drug,combination: chloroquine vs hydroxychloroquine,http://www.chictr.org.cn/showproj.aspx?proj=49869,no results,2020-02-25,2020-08-03
179,chictr2000030039,chictr,2020-02-21,2020-05-31,affiliated hospital of xuzhou medical university,recruiting,not applicable,interventional,china,clinical study for infusing convalescent plasma to treat patients with new coronavirus pneumonia (covid-19),atmp,plasma,http://www.chictr.org.cn/showproj.aspx?proj=49544,no results,2020-02-25,2020-08-03
180,chictr2000029990,chictr,2020-02-18,2020-01-30,"institute of basic medical sciences,chinese academy of medical sciences",recruiting,phase 1/phase 2,interventional,china,clinical trials of mesenchymal stem cells for the treatment of pneumonitis caused by novel coronavirus pneumonia (covid-19),atmp,"cells,mesenchymal",http://www.chictr.org.cn/showproj.aspx?proj=49674,no results,2020-02-25,2020-03-18
181,chictr2000029981,chictr,2020-02-18,2020-02-18,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,diagnostic test,china,study for nucleic acid detection of novel coronavirus pneumonia (covid-2019) in female vaginal secretions,diagnosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49692,no results,2020-02-25,2020-08-03
182,chictr2000030021,chictr,2020-02-20,2020-02-20,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,observational,china,a medical records based analysis for the clinical characteristics of novel coronavirus pneumonia (covid-19) in immunocompromised patients,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49690,no results,2020-02-25,2020-08-03
183,chictr2000030020,chictr,2020-02-20,2020-02-06,"second hospital of university of south china,hengyang",recruiting,not applicable,interventional,china,the clinical application and basic research related to mesenchymal stem cells to treat novel coronavirus pneumonia (covid-19),atmp,"cells,mesenchymal",http://www.chictr.org.cn/showproj.aspx?proj=49812,no results,2020-02-25,2020-08-03
184,chictr2000029974,chictr,2020-02-18,2020-02-09,"qingdao east sea pharmaceutical co.,ltd.",recruiting,not applicable,interventional,china,"a prospective,multicenter,open-label,randomized,parallel-controlled trial for probiotics to evaluate efficacy and safety in patients infected with 2019 novel coronavirus pneumonia (covid-19)",supplement,probiotics,http://www.chictr.org.cn/showproj.aspx?proj=49321,no results,2020-02-25,2020-08-03
185,chictr2000029803,chictr,2020-02-14,2020-02-20,renmin hospital of wuhan university,not recruiting,not applicable,interventional,china,"a prospective,randomized,open-label,controlled clinical study to evaluate the preventive effect of hydroxychloroquine on close contacts after exposure to the novel coronavirus pneumonia (covid-19)",drug,hydroxychloroquine,http://www.chictr.org.cn/showproj.aspx?proj=49428,no results,2020-02-25,2020-08-03
186,chictr2000030019,chictr,2020-02-20,2020-02-28,"zhongshan hospital,fudan university",not recruiting,not applicable,observational,china,"the covid-19 mobile health study (cmhs),a large-scale clinical observational registration study using ncapp",clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49768,no results,2020-02-25,2020-08-03
187,chictr2000030004,chictr,2020-02-19,2020-02-20,west china hospital of sichuan university,not recruiting,not applicable,observational,china,effect of novel coronavirus pneumonia (covid-19) on the mental health of college students,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49783,no results,2020-02-25,2020-03-18
188,chictr2000029780,chictr,2020-02-13,2020-02-14,"union hospital,tongji medical college,huazhong university of science and technology",recruiting,phase 4,interventional,china,"a multicenter,randomized,open,controlled trial for the efficacy and safety of shen-qi fu-zheng injection in the treatment of novel coronavirus pneumonia (covid-19)",traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49220,no results,2020-02-25,2020-08-03
189,nct04257656,clinicaltrials.gov,2020-01-31,2020-02-06,capital medical university,recruiting,phase 3,interventional,china,severe 2019-ncov remdesivir rct,drug,remdesivir,https://clinicaltrials.gov/show/nct04257656,no results,2020-03-02,2020-08-03
190,chictr2000030003,chictr,2020-02-19,2020-02-19,hospital of chengdu university of traditional chinese medicine,not recruiting,not applicable,interventional,china,optimization protocal of integrated traditional chinese and western medicine in the treatment for novel coronavirus pneumonia (covid-19),traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49770,no results,2020-02-25,2020-08-03
191,chictr2000030002,chictr,2020-02-19,2020-02-15,the first affiliated hospital of university of science and technology of china (anhui provincial hospital),recruiting,phase 4,interventional,china,clinical study of novel nlrp inflammasome inhibitor (tranilast) in the treatment of novel coronavirus pneumonia (covid-19),drug,tranilast,http://www.chictr.org.cn/showproj.aspx?proj=49738,no results,2020-02-25,2020-08-03
192,chictr2000029989,chictr,2020-02-18,2020-02-20,chinese pla general hospital,not recruiting,phase 4,interventional,china,a randomized controlled trial for therapeutic efficacy of recombinant human interferon alpha 1b eye drops in the treatment of elderly with novel coronavirus pneumonia (covid-19),drug,interferon alfa,http://www.chictr.org.cn/showproj.aspx?proj=49720,no results,2020-02-25,2020-08-03
193,chictr2000029988,chictr,2020-02-18,2020-02-13,zhongnan hospital of wuhan university,recruiting,phase 4,interventional,china,clinical study of chloroquine phosphate in the treatment of severe novel coronavirus pneumonia (covid-19),drug,chloroquine,http://www.chictr.org.cn/showproj.aspx?proj=49218,no results,2020-02-25,2020-08-03
194,chictr2000029985,chictr,2020-02-18,2020-02-10,sichuan academy of medical sciences & sichuan provincial people's hospital,recruiting,not applicable,observational,china,study for mental health status and influencing factors of nurses during epidemic prevention of novel coronavirus pneumonia (covid-19),clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49711,no results,2020-02-25,2020-03-18
195,chictr2000029972,chictr,2020-02-17,2020-02-17,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,interventional,china,a randomized controlled trial for the efficacy of ultra short wave electrotherapy in the treatment of novel coronavirus pneumonia (covid-19),other (physical),ultra short wave electrotherapy,http://www.chictr.org.cn/showproj.aspx?proj=49664,no results,2020-02-25,2020-08-03
196,nct04252664,clinicaltrials.gov,2020-01-31,2020-02-12,capital medical university,recruiting,phase 3,interventional,china,mild/moderate 2019-ncov remdesivir rct,drug,remdesivir,https://clinicaltrials.gov/show/nct04252664,no results,2020-03-02,2020-08-03
197,nct04256395,clinicaltrials.gov,2020-02-01,2020-02-01,beijing tsinghua chang gung hospital,recruiting,not applicable,observational,china,efficacy of a self-test and self-alert mobile applet in detecting susceptible infection of covid-19,diagnosis,no intervention,https://clinicaltrials.gov/show/nct04256395,no results,2020-03-02,2020-03-18
198,nct04273321,clinicaltrials.gov,2020-02-15,2020-02-14,"beijing chaoyang hospital,capital medical university",recruiting,not applicable,interventional,china,efficacy and safety of corticosteroids in covid-19,drug,corticosteroids,https://clinicaltrials.gov/show/nct04273321,no results,2020-03-02,2020-08-03
199,nct04273529,clinicaltrials.gov,2020-02-14,2020-02-20,the first affiliated hospital of wenzhou medical university,not recruiting,phase 2,interventional,no country given,the efficacy and safety of thalidomide in the adjuvant treatment of moderate new coronavirus (covid-19) pneumonia,drug,thalidomide,https://clinicaltrials.gov/show/nct04273529,no results,2020-03-02,2020-08-03
200,nct04270383,clinicaltrials.gov,2020-02-11,2020-02-15,beijing children's hospital,not recruiting,phase 1,observational,china,clinical characteristics and long-term prognosis of 2019-ncov infection in children,clinical presentation,no intervention,https://clinicaltrials.gov/show/nct04270383,no results,2020-03-02,2020-08-03
201,nct04273646,clinicaltrials.gov,2020-02-14,2020-02-16,"wuhan union hospital,china",not recruiting,not applicable,interventional,china,study of human umbilical cord mesenchymal stem cells in the treatment of novel coronavirus severe pneumonia,atmp,"cells,mesenchymal",https://clinicaltrials.gov/show/nct04273646,no results,2020-03-02,2020-08-03
202,nct04275947,clinicaltrials.gov,2020-02-17,2020-02-14,chinese alliance against lung cancer,recruiting,not applicable,observational,china,the covid-19 mobile health study (cmhs),clinical presentation,no intervention,https://clinicaltrials.gov/show/nct04275947,no results,2020-03-02,2020-08-03
203,chictr2000030420,chictr,2020-03-01,2020-03-01,"institute of integrative medicine of dalian medical university,dalian,china.",not recruiting,not applicable,interventional,china,a clinical trial study for the influence of tcm psychotherapy on negative emotion of patients with novel coronavirus pneumonia (covid-19) based on network platform,other (psych),psychological,http://www.chictr.org.cn/showproj.aspx?proj=50286,no results,2020-03-02,2020-08-03
204,chictr2000029954,chictr,2020-02-17,2020-04-30,hubei hospital of traditional chinese medicine,recruiting,phase 4,interventional,china,"efficacy and safety of honeysuckle oral liquid in the treatment of novel coronavirus pneumonia (covid-19): a multicenter,randomized,controlled,open clinical trial",traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49402,no results,2020-02-25,2020-08-03
205,nct04279899,clinicaltrials.gov,2020-02-18,2020-02-01,children's hospital of fudan university,recruiting,not applicable,observational,china,the investigation of the neonates with or with risk of covid-19,clinical presentation,no intervention,https://clinicaltrials.gov/show/nct04279899,no results,2020-03-02,2020-03-18
206,nct04275245,clinicaltrials.gov,2020-02-06,2020-02-03,tang-du hospital,recruiting,phase 1/phase 2,interventional,china,clinical study of anti-cd147 humanized meplazumab for injection to treat with 2019-ncov pneumonia,drug,mepolizumab,https://clinicaltrials.gov/show/nct04275245,no results,2020-03-02,2020-08-03
207,nct04275388,clinicaltrials.gov,2020-02-17,2020-02-14,jiangxi qingfeng pharmaceutical co. ltd.,not recruiting,not applicable,interventional,no country given,xiyanping injection for the treatment of new coronavirus infected pneumonia,traditional medicine (drug),traditional medicine,https://clinicaltrials.gov/show/nct04275388,no results,2020-03-02,2020-03-18
208,nct04279197,clinicaltrials.gov,2020-02-15,2020-02-15,shuguang hospital,recruiting,phase 2,interventional,china,treatment of pulmonary fibrosis due to 2019-ncov pneumonia with fuzheng huayu,traditional medicine (drug),traditional medicine,https://clinicaltrials.gov/show/nct04279197,no results,2020-03-02,2020-08-03
209,nct04280588,clinicaltrials.gov,2020-02-20,2020-02-22,the first affiliated hospital of fujian medical university,recruiting,phase 2,interventional,china,fingolimod in covid-19,drug,fingolimod,https://clinicaltrials.gov/show/nct04280588,no results,2020-03-02,2020-08-03
